date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:58	108033/108033	---M--	200	added ('OK')	image/jpeg	etag:%220%22	http://img.youtube.com/vi/ajKlIAVuBJc/maxresdefault.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/img.youtube.com/vi/ajKlIAVuBJc/maxresdefault.jpg	(from https://prium.github.io/freya/v2.1.0/homes/header-youtube-video.html)
15:13:59	115596/115596	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1c38c%22	https://prium.github.io/freya/v2.1.0/assets/img/video.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/video.jpg	(from https://prium.github.io/freya/v2.1.0/homes/header-selfhosted-video.html)
15:13:59	2335/2335	---M-Z	200	added ('OK')	text/css	etag:W/%22666533af-91f%22	https://prium.github.io/freya/v2.1.0/vendors/prism/prism.css	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/vendors/prism/prism.css	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:02	138571/138571	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-21d4b%22	https://prium.github.io/freya/v2.1.0/assets/img/about_team.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/about_team.jpg	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:02	385896/385896	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-5e368%22	https://prium.github.io/freya/v2.1.0/assets/img/about_header.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/about_header.jpg	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:02	9537461/9537461	---M--	200	added ('OK')	video/mp4	etag:%22666533af-9187b5%22	https://prium.github.io/freya/v2.1.0/assets/videos/video.mp4	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/videos/video.mp4	(from https://prium.github.io/freya/v2.1.0/homes/header-selfhosted-video.html)
15:14:02	3702771/3702771	---M--	200	added ('OK')	video/webm	etag:%22666533af-387ff3%22	https://prium.github.io/freya/v2.1.0/assets/videos/video.webm	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/videos/video.webm	(from https://prium.github.io/freya/v2.1.0/homes/header-selfhosted-video.html)
15:14:02	109307/109307	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1aafb%22	https://prium.github.io/freya/v2.1.0/assets/img/portrait-1.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/portrait-1.jpg	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:03	45351/45351	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-b127%22	https://prium.github.io/freya/v2.1.0/assets/img/portrait-2.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/portrait-2.jpg	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
15:14:04	122684/122684	---M--	200	added ('OK')	image/jpeg	etag:%22666533af-1df3c%22	https://prium.github.io/freya/v2.1.0/assets/img/portrait-3.jpg	C:/Users/rafiq/OneDrive/Desktop/Clean/Luxurious%20Apartment/prium.github.io/freya/v2.1.0/assets/img/portrait-3.jpg	(from https://prium.github.io/freya/v2.1.0/pages/about.html)
